time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA
4680,0,0,64,36,80,802,1214,670
4685,0,0,71,17,75,907,1264,640
4690,0,0,45,32,76,862,1250,655
4695,0,0,66,21,77,860,1234,668
4700,0,0,56,35,84,865,1269,641
4705,0,0,77,28,76,845,1244,656
4710,0,0,59,29,90,838,1243,641
4715,0,0,71,24,86,858,1226,646
4720,0,0,62,41,76,841,1216,654
4725,0,0,69,26,78,897,1245,639
4730,0,0,58,43,71,866,1247,656
4735,0,0,72,25,83,877,1257,645
4740,0,0,58,27,85,869,1288,627
4745,0,0,64,22,77,836,1237,683
4750,0,0,62,24,72,866,1226,685
4755,0,0,60,26,75,901,1269,645
4760,0,0,61,38,85,846,1250,664
4765,0,0,74,28,82,873,1284,643
4770,0,0,70,33,86,886,1277,659
4775,0,0,64,31,87,860,1265,678
4780,0,0,62,34,88,884,1286,660
4785,0,0,58,30,78,848,1252,695
4790,0,0,73,25,74,878,1274,657
4795,0,0,62,26,65,859,1267,679
4800,0,0,48,27,73,860,1281,662
4805,0,0,58,23,72,864,1248,700
4810,0,0,45,30,68,903,1293,639
4815,0,0,57,23,75,851,1220,704
4820,0,0,46,26,81,951,1308,624
4825,0,0,43,28,79,822,1196,734
4830,0,0,53,22,77,944,1305,622
4835,0,0,51,24,75,850,1210,708
4840,0,0,42,27,71,910,1290,632
4845,0,0,53,29,85,856,1231,691
4850,0,0,59,19,87,934,1272,662
4855,0,0,50,35,94,868,1234,705
4860,0,0,66,27,92,903,1264,660
4865,0,0,58,27,94,885,1257,673
4870,0,0,54,26,79,859,1251,681
4875,0,0,54,23,72,875,1254,679
4880,0,0,52,33,79,881,1281,657
4885,0,0,63,26,80,853,1252,691
4890,0,0,54,38,85,877,1277,668
4895,0,0,64,28,71,868,1266,670
4900,0,0,61,33,80,851,1251,669
4905,0,0,61,31,79,876,1297,628
4910,0,0,62,32,67,849,1260,674
4915,0,0,64,23,81,867,1295,640
4920,0,0,41,21,82,850,1267,677
4925,0,0,57,23,77,889,1276,657
4930,0,0,51,18,81,871,1247,672
4935,0,0,41,33,81,892,1273,653
4940,0,0,64,23,79,851,1263,657
4945,0,0,54,19,71,858,1275,652
4950,0,0,47,23,78,839,1270,659
4955,0,0,45,25,74,880,1303,639
4960,0,0,59,24,73,840,1239,708
4965,0,0,53,23,68,909,1312,629
4970,0,0,54,30,70,825,1253,681
4975,0,0,57,28,66,885,1308,635
4980,0,0,61,20,63,860,1289,653
4985,0,0,42,24,72,881,1300,644
4990,0,0,55,30,64,799,1276,656
4995,0,0,59,21,67,846,1298,629
5000,0,0,58,28,72,800,1268,654
