time,PGL3,PGL3-mRNA,MEG3,MEG3-mRNA,MEG3p,mRNA,MEX5,MEX5-mRNA
3855,0,0,22,8,119,917,1225,612
3860,0,0,26,13,116,827,1151,683
3865,0,0,32,6,107,899,1227,613
3870,0,0,18,11,113,837,1167,678
3875,0,0,37,13,106,889,1194,640
3880,0,0,25,15,128,844,1192,644
3885,0,0,27,10,115,867,1208,640
3890,0,0,25,10,117,849,1177,670
3895,0,0,25,12,109,873,1207,640
3900,0,0,30,7,111,862,1208,642
3905,0,0,30,15,110,830,1177,668
3910,0,0,28,9,120,867,1199,641
3915,0,0,23,8,116,853,1161,662
3920,0,0,26,14,99,884,1206,624
3925,0,0,28,7,114,859,1176,659
3930,0,0,25,10,118,870,1174,646
3935,0,0,28,9,114,871,1178,635
3940,0,0,27,10,109,852,1152,657
3945,0,0,19,18,114,876,1168,629
3950,0,0,36,6,108,878,1169,633
3955,0,0,24,13,106,847,1138,668
3960,0,0,34,8,113,894,1186,625
3965,0,0,29,15,98,858,1146,666
3970,0,0,36,11,93,910,1170,638
3975,0,0,23,16,110,893,1152,657
3980,0,0,30,4,116,897,1190,620
3985,0,0,21,15,106,856,1146,666
3990,0,0,24,6,112,917,1195,617
3995,0,0,19,19,107,837,1123,681
4000,0,0,26,12,96,918,1170,621
4005,0,0,27,16,101,882,1132,673
4010,0,0,26,9,119,938,1211,596
4015,0,0,17,13,95,868,1141,669
4020,0,0,22,7,100,903,1184,617
4025,0,0,26,6,113,877,1117,688
4030,0,0,21,11,99,935,1177,623
4035,0,0,20,11,94,877,1152,659
4040,0,0,23,4,115,860,1126,675
4045,0,0,27,8,109,911,1163,628
4050,0,0,24,10,104,883,1143,649
4055,0,0,24,8,104,909,1171,633
4060,0,0,20,7,104,873,1131,681
4065,0,0,22,9,113,912,1196,616
4070,0,0,29,5,117,871,1146,674
4075,0,0,15,17,108,891,1147,651
4080,0,0,33,8,98,908,1147,656
4085,0,0,26,9,100,898,1153,649
4090,0,0,29,11,106,891,1163,648
4095,0,0,31,14,104,863,1140,656
4100,0,0,27,6,125,929,1173,618
4105,0,0,23,8,108,867,1102,694
4110,0,0,20,8,109,914,1112,670
4115,0,0,23,18,98,901,1097,665
4120,0,0,39,8,92,916,1115,642
4125,0,0,24,20,118,908,1113,657
4130,0,0,31,14,126,906,1125,651
4135,0,0,36,14,133,905,1137,642
4140,0,0,34,16,130,876,1122,632
4145,0,0,40,16,112,865,1136,616
4150,0,0,28,9,119,851,1131,619
4155,0,0,28,9,109,842,1140,633
4160,0,0,22,13,134,886,1165,618
4165,0,0,31,12,113,856,1132,638
4170,0,0,25,11,108,865,1114,645
4175,0,0,28,10,111,881,1125,627
4180,0,0,27,13,106,870,1120,645
4185,0,0,21,14,102,867,1115,639
4190,0,0,34,11,107,904,1146,606
4195,0,0,31,9,116,859,1106,656
4200,0,0,23,13,108,880,1172,582
4205,0,0,33,9,111,806,1095,652
4210,0,0,24,14,112,894,1156,588
4215,0,0,26,9,112,834,1115,635
4220,0,0,28,12,114,877,1162,592
4225,0,0,36,10,110,821,1110,653
4230,0,0,29,8,116,872,1145,616
4235,0,0,20,14,123,887,1144,617
4240,0,0,29,9,120,860,1110,639
4245,0,0,27,12,122,883,1093,654
4250,0,0,30,20,106,904,1133,626
4255,0,0,31,13,113,887,1119,646
4260,0,0,30,15,124,878,1153,604
4265,0,0,31,15,128,856,1109,653
4270,0,0,36,17,118,880,1139,617
4275,0,0,32,22,123,859,1129,620
4280,0,0,39,11,124,871,1134,617
4285,0,0,28,16,122,857,1120,627
4290,0,0,33,19,122,863,1143,606
4295,0,0,31,10,127,854,1081,673
4300,0,0,31,11,122,909,1139,600
4305,0,0,24,15,135,864,1089,660
4310,0,0,39,15,132,916,1139,620
4315,0,0,39,17,121,870,1079,674
4320,0,0,37,10,108,919,1121,631
4325,0,0,22,15,103,871,1099,646
4330,0,0,31,9,110,884,1118,635
4335,0,0,35,13,110,879,1119,630
4340,0,0,31,9,117,894,1124,631
4345,0,0,32,10,114,882,1108,644
4350,0,0,22,19,129,892,1113,633
4355,0,0,37,10,135,901,1112,640
4360,0,0,26,19,122,900,1143,619
4365,0,0,26,15,123,861,1134,631
4370,0,0,29,12,118,854,1124,647
4375,0,0,35,14,116,884,1152,624
4380,0,0,31,12,122,840,1129,650
4385,0,0,36,10,130,881,1168,613
4390,0,0,30,11,142,826,1132,637
4395,0,0,36,10,127,876,1154,628
4400,0,0,26,13,131,864,1142,646
4405,0,0,35,11,128,878,1135,639
